"DD","TTQ","TRF"
"20211013","魅力度ランキング",50000
"20211013","マイナポイント",20000
"20211013","バンクシー",20000
"20211013","Notion",20000
"20211013","ディープインサニティ",20000
"20211013","愛の不時着",20000
"20211013","サッカー日本代表",10000
"20211014","ドコモ",500000
"20211014","海老蔵",100000
"20211014","衆議院選挙",100000
"20211014","Mステ",100000
"20211014","江口のりこ",50000
"20211014","王様ランキング",50000
"20211014","米倉涼子",50000
"20211014","柳楽優弥",20000
"20211014","キャンドゥ",20000
"20211014","ヒノカミ血風譚",20000
"20211014","熊田曜子",20000
"20211014","新居浜",10000
"20211014","山崎育三郎",10000
"20211014","魅力度ランキング",50000
"20211014","マイナポイント",20000
"20211014","バンクシー",20000
"20211014","Notion",20000
"20211014","ディープインサニティ",20000
"20211014","愛の不時着",20000
"20211014","サッカー日本代表",10000
"20211015","井上真央",100000
"20211015","V6",50000
"20211015","ルパン三世",50000
"20211015","ミュージックステーション",50000
"20211015","なにわ男子",50000
"20211015","スパロボ30",20000
"20211015","バンクシー",20000
"20211015","上野",20000
"20211015","TSMC",20000
"20211015","山尾志桜里",20000
"20211015","日本製鉄",10000
"20211015","LISA",10000
"20211015","渋谷凪咲",10000
"20211015","ドコモ",500000
"20211015","海老蔵",100000
"20211015","衆議院選挙",100000
"20211015","Mステ",100000
"20211015","江口のりこ",50000
"20211015","王様ランキング",50000
"20211015","米倉涼子",50000
"20211015","柳楽優弥",20000
"20211015","キャンドゥ",20000
"20211015","ヒノカミ血風譚",20000
"20211015","熊田曜子",20000
"20211015","新居浜",10000
"20211015","山崎育三郎",10000
"20211016","宮沢りえ",100000
"20211016","二月の勝者",50000
"20211016","井浦新",50000
"20211016","エディーバウアー",50000
"20211016","Jリーグ",50000
"20211016","津田健次郎",20000
"20211016","どうぶつの森",20000
"20211016","宮本浩次",20000
"20211016","J1",20000
"20211016","デスストランディング",10000
"20211016","井上真央",100000
"20211016","V6",50000
"20211016","ルパン三世",50000
"20211016","ミュージックステーション",50000
"20211016","なにわ男子",50000
"20211016","スパロボ30",20000
"20211016","バンクシー",20000
"20211016","上野",20000
"20211016","TSMC",20000
"20211016","山尾志桜里",20000
"20211016","日本製鉄",10000
"20211016","LISA",10000
"20211016","渋谷凪咲",10000
"20211017","斎藤佑樹",200000
"20211017","西山ファーム",50000
"20211017","ソダシ",50000
"20211017","アカイトリノムスメ",50000
"20211017","阪神競馬場",20000
"20211017","田中将大",20000
"20211017","ユーバーレーベン",20000
"20211017","小林愛実",10000
"20211017","宮沢りえ",100000
"20211017","二月の勝者",50000
"20211017","井浦新",50000
"20211017","エディーバウアー",50000
"20211017","Jリーグ",50000
"20211017","津田健次郎",20000
"20211017","どうぶつの森",20000
"20211017","宮本浩次",20000
"20211017","J1",20000
"20211017","デスストランディング",10000
"20211018","松坂大輔",200000
"20211018","アバランチ",100000
"20211018","ジャガーさん",100000
"20211018","パウエル国務長官",100000
"20211018","山本文緒",50000
"20211018","江口のりこ",50000
"20211018","UUUM",50000
"20211018","堀田真由",50000
"20211018","硫黄島",20000
"20211018","NFT",20000
"20211018","そろばん",10000
"20211018","斎藤佑樹",200000
"20211018","西山ファーム",50000
"20211018","ソダシ",50000
"20211018","アカイトリノムスメ",50000
"20211018","阪神競馬場",20000
"20211018","田中将大",20000
"20211018","ユーバーレーベン",20000
"20211018","小林愛実",10000
"20211019","Apple",200000
"20211019","衆議院選挙",100000
"20211019","婚姻届に判を捺しただけですが",100000
"20211019","清野菜名",100000
"20211019","マンハッタンカフェ",50000
"20211019","なにわ男子",20000
"20211019","衆議院選挙 2021",20000
"20211019","津軽海峡",20000
"20211019","Mac",20000
